tanggal,keterangan,is_cuti
2026-01-01,Tahun Baru 2026 Masehi,false
2026-01-16,Isra Mikraj Nabi Muhammad SAW,false
2026-02-16,Cuti Bersama Tahun Baru Imlek 2577 Kongzili,true
2026-02-17,Tahun Baru Imlek 2577 Kongzili,false
2026-03-18,Cuti Bersama Hari Suci Nyepi (Tahun Baru Saka 1948),true
2026-03-19,Hari Suci Nyepi (Tahun Baru Saka 1948),false
2026-03-20,Cuti Bersama Idul Fitri 1447 Hijriah,true
2026-03-21,Hari Raya Idul Fitri 1447 Hijriah,false
2026-03-22,Hari Raya Idul Fitri 1447 Hijriah,false
2026-03-23,Cuti Bersama Idul Fitri 1447 Hijriah,true
2026-03-24,Cuti Bersama Idul Fitri 1447 Hijriah,true
2026-04-03,Wafat Yesus Kristus,false
2026-04-05,Kebangkitan Yesus Kristus (Paskah),false
2026-05-01,Hari Buruh Internasional,false
2026-05-14,Kenaikan Yesus Kristus,false
2026-05-15,Cuti Bersama Kenaikan Yesus Kristus,true
2026-05-27,Hari Raya Idul Adha 1447 Hijriah,false
2026-05-28,Cuti Bersama Idul Adha 1447 Hijriah,true
2026-05-31,Hari Raya Waisak 2570 BE,false
2026-06-01,Hari Lahir Pancasila,false
2026-06-16,Tahun Baru Islam 1448 Hijriah,false
2026-08-17,Hari Kemerdekaan Republik Indonesia,false
2026-08-25,Maulid Nabi Muhammad SAW,false
2026-12-24,Cuti Bersama Hari Raya Natal,true
2026-12-25,Hari Raya Natal,false
